,Date,Category,Inventory Level,Units Sold,Units Ordered,Price,Competitor Pricing
0,2022-01-01,Clothing,6520,3784,2200,56.23681818181819,57.665000000000006
1,2022-01-01,Electronics,6429,3440,2299,56.444545454545455,56.71363636363637
2,2022-01-01,Furniture,3434,1738,1508,56.090833333333336,58.14083333333334
3,2022-01-01,Groceries,7092,3112,2386,62.48608695652174,62.66434782608695
4,2022-01-01,Toys,4949,2410,2528,55.34809523809523,55.38142857142857
5,2022-01-02,Clothing,4163,2326,2083,59.45823529411764,59.955882352941174
6,2022-01-02,Electronics,5712,2555,2470,54.652857142857144,53.38380952380952
7,2022-01-02,Furniture,5282,2108,2159,59.287619047619046,58.40428571428571
8,2022-01-02,Groceries,5246,2817,1706,59.98684210526316,59.973684210526315
9,2022-01-02,Toys,6847,3609,2352,69.10727272727273,68.97318181818183
10,2022-01-03,Clothing,5844,2524,2494,69.03363636363636,69.41227272727272
11,2022-01-03,Electronics,5882,3339,2187,58.8605,58.879999999999995
12,2022-01-03,Furniture,1984,1146,1178,63.94,64.857
13,2022-01-03,Groceries,7539,3509,2609,52.57076923076923,52.652307692307694
14,2022-01-03,Toys,6020,3163,2628,44.442727272727275,43.90590909090909
15,2022-01-04,Clothing,3877,2280,1867,57.059411764705885,56.61588235294118
16,2022-01-04,Electronics,5160,2798,2307,56.68833333333333,56.991666666666674
17,2022-01-04,Furniture,4995,2522,1720,47.025999999999996,47.059999999999995
18,2022-01-04,Groceries,5480,2490,2506,48.03772727272727,47.88136363636364
19,2022-01-04,Toys,8076,3994,3172,55.23857142857143,54.78285714285715
20,2022-01-05,Clothing,2650,1387,944,58.45700000000001,59.14
21,2022-01-05,Electronics,6567,2655,2280,55.0875,54.69291666666667
22,2022-01-05,Furniture,5335,2398,2008,66.495625,66.3225
23,2022-01-05,Groceries,5846,2099,2573,51.38238095238095,51.88
24,2022-01-05,Toys,8282,4033,3114,53.44655172413793,53.43413793103448
25,2022-01-06,Clothing,5251,2302,2470,59.414,59.854499999999994
26,2022-01-06,Electronics,3386,1226,1584,63.367333333333335,63.686666666666675
27,2022-01-06,Furniture,8757,4649,3161,54.1696875,53.870625000000004
28,2022-01-06,Groceries,3218,1975,1745,52.62214285714286,51.99071428571428
29,2022-01-06,Toys,5203,2411,2054,57.52315789473685,56.28210526315789
30,2022-01-07,Clothing,4371,1734,2086,61.49055555555555,61.67611111111111
31,2022-01-07,Electronics,5606,2997,2557,51.5875,51.552499999999995
32,2022-01-07,Furniture,5506,2729,2808,52.33217391304348,52.26478260869565
33,2022-01-07,Groceries,5863,2387,2211,60.25666666666666,60.727619047619044
34,2022-01-07,Toys,4249,1979,2156,70.33888888888889,68.91777777777777
35,2022-01-08,Clothing,4404,2547,1418,49.094375,48.001875
36,2022-01-08,Electronics,5221,2275,1604,51.78578947368421,52.28157894736842
37,2022-01-08,Furniture,6615,3346,2393,57.54227272727273,58.47090909090909
38,2022-01-08,Groceries,6845,3862,1968,54.189166666666665,54.08375
39,2022-01-08,Toys,4735,1928,1853,52.69157894736842,52.217894736842105
40,2022-01-09,Clothing,7517,4312,2207,61.49826086956522,60.98521739130435
41,2022-01-09,Electronics,8726,4863,3872,55.97966666666666,56.144666666666666
42,2022-01-09,Furniture,3485,1546,1307,50.531666666666666,49.469166666666666
43,2022-01-09,Groceries,3395,1797,1241,56.719166666666666,55.42083333333333
44,2022-01-09,Toys,6375,3378,2533,64.48086956521739,65.04521739130435
45,2022-01-10,Clothing,6126,3195,2273,63.80952380952381,63.4752380952381
46,2022-01-10,Electronics,5418,2578,2292,55.03333333333333,55.284444444444446
47,2022-01-10,Furniture,5603,2799,2452,52.644285714285715,51.95428571428571
48,2022-01-10,Groceries,5787,2766,2309,49.8847619047619,50.142857142857146
49,2022-01-10,Toys,4526,2269,2087,52.62947368421053,52.76052631578948
50,2022-01-11,Clothing,7346,4258,3372,59.84428571428572,60.08678571428572
51,2022-01-11,Electronics,5503,2433,2053,50.257222222222225,49.78611111111111
52,2022-01-11,Furniture,5417,3212,2923,50.908095238095235,50.41952380952381
53,2022-01-11,Groceries,4399,2122,1466,64.42785714285715,64.68071428571429
54,2022-01-11,Toys,5210,2841,2278,49.46263157894737,49.48894736842105
